state_postal_code,zip_code_range
AL,"[35004,36925]"
AK,"[99501,99950]"
AZ,"[85001,86556]"
AR,"[71601,72959]"
CA,"[90001,96162]"
CO,"[80001,81658]"
CT,"[06001,06928]"
DC,"[20001,20037]"
DE,"[19701,19980]"
FL,"[32003,34997]"
GA,"[30002,39901]"
HI,"[96701,96898]"
ID,"[83201,83888]"
IL,"[60001,62999]"
IN,"[46001,47997]"
IA,"[50001,52809]"
KS,"[66002,67954]"
KY,"[40003,42788]"
LA,"[70001,71497]"
ME,"[03901,04992]"
MD,"[20601,21930]"
MA,"[01001,05544]"
MI,"[48001,49971]"
MN,"[55001,56763]"
MS,"[38601,39776]"
MO,"[63001,65899]"
MT,"[59001,59937]"
NE,"[68001,69367]"
NV,"[88901,89883]"
NH,"[03031,03897]"
NJ,"[07001,08989]"
NM,"[87001,88441]"
NY,"[00501,14925]"
NC,"[27006,28909]"
ND,"[58001,58856]"
OH,"[43001,45999]"
OK,"[73001,74966]"
OR,"[97001,97920]"
PA,"[15001,19640]"
RI,"[02801,02940]"
SC,"[29001,29945]"
SD,"[57001,57799]"
TN,"[37010,38589]"
TX,"[73301,88595]"
UT,"[84001,84791]"
VT,"[05001,05907]"
VA,"[20101,24658]"
WA,"[98001,99403]"
WV,"[24701,26886]"
WI,"[53001,54990]"
WY,"[82001,83128]"
